old size = 10000
new size = 900
768,4
640,103
384,128
128,411
512,912
256,1219
896,1765
513,96
129,132
641,231
769,673
257,896
897,2020
385,2400
258,53
130,108
898,218
642,252
514,308
386,583
770,1365
771,81
387,87
643,176
515,356
899,635
259,636
131,1941
260,208
772,502
388,546
900,705
644,816
516,1197
132,1465
133,41
261,288
517,316
645,364
389,634
901,1809
773,2425
262,3
390,51
774,98
134,469
646,473
902,751
518,2166
263,238
135,268
775,1025
391,1321
519,1404
647,2039
903,3495
520,293
648,320
392,348
776,405
136,448
904,904
264,3498
265,213
649,374
137,392
777,408
905,1023
521,1393
393,2423
778,192
522,495
266,649
650,1159
906,1726
138,2127
394,2744
651,15
779,44
267,64
523,457
139,1238
395,1464
907,2770
652,425
140,538
524,742
908,1207
268,1683
780,1793
396,1801
781,95
525,207
909,275
653,510
141,1743
397,2463
269,4886
398,12
526,239
910,509
782,952
142,1002
654,1201
270,2203
527,79
271,113
783,114
143,398
911,905
655,1229
399,5320
400,291
912,581
528,613
272,678
784,769
144,1813
656,2125
401,82
657,139
913,340
785,626
145,945
529,1045
273,4523
530,83
914,127
146,156
658,338
786,693
274,725
402,1134
147,45
915,212
403,236
787,264
275,522
531,836
659,1592
276,6
916,49
148,157
404,165
532,250
660,830
788,995
149,136
405,171
917,290
277,319
661,588
533,645
789,844
790,294
278,341
406,362
534,547
662,744
918,1351
150,2107
919,52
151,216
279,221
535,226
663,724
791,1221
407,1262
280,40
664,169
408,263
152,307
792,315
536,1593
920,2312
409,357
793,444
153,518
921,542
665,639
281,1245
537,2137
154,84
666,102
922,126
410,254
282,737
538,801
794,2094
923,380
411,688
539,1150
795,1241
155,1379
283,2053
667,2357
412,144
668,245
284,862
156,881
540,1021
924,1301
796,2652
797,19
541,119
925,261
669,459
413,487
285,921
157,5061
670,55
158,181
414,269
542,336
798,893
286,937
926,6368
287,47
543,332
671,378
799,789
927,1076
415,1669
159,1768
288,38
160,56
800,161
544,172
416,382
672,1680
928,2288
417,185
289,249
673,413
929,680
801,1454
161,1956
545,2057
290,7
674,730
162,909
930,1192
802,1552
418,1907
546,3221
931,10
803,318
291,868
163,972
547,1648
419,1847
675,1908
292,63
804,233
548,506
932,614
676,670
420,712
164,1699
933,5
677,302
549,317
293,360
165,379
421,1149
805,1388
294,58
